Unnamed: 0,price,title,stars,vote,kategori_penyakit
0,6000,BeautyBio Rose Quartz Roller,4.7,75,Unknown_Normal
1,2800,Kopari Starry Eye Balm,4.0,11,Unknown_Normal
2,7200,StriVectin SuperC Brighten  and  Correct Serum,4.6,271,Vitiligo; Unknown_Normal
3,5900,Skin Gym Rose Quartz Facial Workout Set Nordstrom Exclusive USD 92 Value,5.0,1,Unknown_Normal
4,9150,Slip Marble  and  Charcoal Pillowcase  and  Sleep Mask Set USD 139 Value,5.0,2,Unknown_Normal
5,16900,LightStim for Acne LED Light Therapy Device,4.4,29,Acne
6,6000,Charlotte Tilbury Magic Eye Rescue Cream,3.9,167,Unknown_Normal
7,2500,iluminage TOUCH Precision Adaptor,0.0,0,Unknown_Normal
8,62500,MZ Skin LightTherapy Golden Facial Treatment Device,0.0,0,Acne
9,3500,BeautyBio GloPRO LIP MicroTip Attachment Head,4.8,23,Unknown_Normal
10,5000,Kiehls Since 1851 PowerfulStrength Dark Circle Reducing Vitamin C Eye Serum,4.2,645,Unknown_Normal
11,2400,Mario Badescu Whitening Mask,4.2,45,Unknown_Normal
12,3900,Odacité Blue Aura Cleansing Water,5.0,2,Unknown_Normal
13,19900,BeautyBio Skincares Bestie GloPRO Microneedling Regeneration Tool Set USD 279 Value,4.7,27,Unknown_Normal
14,4500,Suntegrity 5in1 Natural Moisturizing Face Sunscreen Broad Spectrum SPF 30,4.1,9,Sun_Sunlight_Damage; Lupus; Unknown_Normal
15,3000,Herbivore Botanicals Jade Facial Roller,4.2,19,Unknown_Normal
16,7500,Peter Thomas Roth 24K Gold Lift  and  Firm HydraGel Eye Patches,4.5,50,Acne
17,6500,BeautyStat Universal C Eye Perfector Cream,4.9,26,Unknown_Normal
18,4900,Skin Gym Rose Quartz Workout Set USD 60 Value,3.8,4,Unknown_Normal
19,15000,Dr Dennis Gross Skincare Alpha Beta Peel Extra Strength Formula  60 Applications,4.9,434,Unknown_Normal
20,1700,Mario Badescu Drying Lotion,4.6,474,Unknown_Normal
21,21200,Lancôme Absolue Revitalizing  and  Brightening Rich Cream Face Moisturizer,4.6,23,Eczema; Psoriasis; Vitiligo; Seborrh_Keratoses; Unknown_Normal
22,19900,PMD Personal Microderm Pro Device USD 219 Value,4.5,63,Unknown_Normal
23,6900,Skin Gym Face Sculptor,4.3,6,Unknown_Normal
24,4400,Skin Gym Amethyst 2D Textured  and  Smooth Facial Roller,0.0,0,Seborrh_Keratoses
25,4000,Herbivore Botanicals Rose Quartz Facial Roller,4.3,19,Unknown_Normal
26,2400,sara happ The Lip Scrub,4.8,37,Unknown_Normal
27,2400,Squish Beauty Squishkit Beauty Set,0.0,0,Unknown_Normal
28,5200,Lancôme Bienfait MultiVital SPF 30 Day Cream Moisturizer,4.7,505,Eczema; Psoriasis; Sun_Sunlight_Damage; Unknown_Normal
29,3900,Kylie Skin 4Piece Mini Skincare Set,4.2,428,Unknown_Normal
30,21200,Lancôme Absolue Revitalizing  and  Brightening Soft Cream,4.5,1554,Vitiligo; Seborrh_Keratoses; Unknown_Normal
31,3500,Lancôme Advanced Génifique Radiance Starter Set Nordstrom Exclusive USD 7750 Value,5.0,5,Unknown_Normal
32,4500,Elemis Papaya Enzyme Peel,4.8,182,Unknown_Normal
33,5600,Lancôme Bienfait MultiVital Night Highly Potent Overnight Face Moisturizer,4.8,256,Eczema; Psoriasis; Unknown_Normal
34,4800,Sunday Riley Pink Drink Firming Resurfacing Essence,5.0,1,Sun_Sunlight_Damages
35,4800,Herbivore Botanicals Emerald Deep Moisture Glow Oil,4.8,17,Unknown_Normal
36,3200,Skin Gym Rose Quartz Crystal Gua Sha Sculpty Facial Tool,4.4,5,Unknown_Normal
37,4400,Chantecaille Lip Potion Balm,4.5,36,Unknown_Normal
38,3400,TULA Skincare Face Filter Blurring  and  Moisturizing Primer,4.7,1107,Unknown_Normal
39,12500,Lancôme Rénergie Lift MultiAction Night Cream Skin Rejuvenating Treatment,4.9,289,Acne; Sun_Sunlight_Damage; Unknown_Normal
40,8000,BeautyStat Universal C Skin Refiner Serum,5.0,26,Unknown_Normal
41,4000,BeautyBio Bright Eyes Illuminating Colloidal Silver  Collagen Eye Patch,4.4,37,Unknown_Normal
42,6900,Dr Dennis Gross Skincare Ferulic  Retinol Serum Triple Correction Eye Serum,4.5,149,Actinic_Keratosis; Unknown_Normal
43,2500,Murad Spot Correcting Serum,2.7,3,Acne; Unknown_Normal
44,2600,Kiehls Since 1851 Buttermask Lip Smoothing Treatment,4.0,104,Acne
45,12200,Perricone MD Essential Fx AcylGlutathione Eyelid Lift Serum,4.3,195,Unknown_Normal
46,8500,Sunday Riley A HighDose Retinoid Serum,4.8,12,Sun_Sunlight_Damage; Unknown_Normal
47,4800,Youth to the People Superberry Hydrate  Glow Dream Mask,3.9,10,Unknown_Normal
48,3200,Skin Gym Rose Quartz Crystal Sculpty Heart Gua Sha Facial Tool,3.8,6,Unknown_Normal
49,2700,Lancôme Crème Mousse Confort Creamy Foaming Cleanser,4.7,383,Acne; Unknown_Normal
50,30000,Dr Barbara Sturm Hyaluronic Serum,3.9,148,Unknown_Normal
51,15900,PMD Classic Personal Microderm Device,4.5,44,Unknown_Normal
52,2600,Hum Nutrition Daily Cleanse Clear Skin and Body Detox Dietary Supplement,4.5,57,Unknown_Normal
53,3800,Kiehls Since 1851 Rare Earth Deep Pore Cleansing Masque,4.6,472,Unknown_Normal
54,600,MYTAGALONGS Kid Clean Essentials Kit,5.0,1,Unknown_Normal
55,44081,Lancôme Rénergie Lift Multi Action Ultra Cream SPF 30 for All Skin Types,4.7,1742,Sun_Sunlight_Damage; Unknown_Normal
56,28309,Lancôme Advanced Génifique Eye Light Pearl Eye Serum  and  Lash Growth Treatment,4.3,261,Acne; Unknown_Normal
57,112830,FOREO UFO 2 Power Mask  and  Light Therapy Device,4.8,176,Unknown_Normal
58,60257,NuFACE FIX Line Smoothing Device,3.9,236,Unknown_Normal
59,7279,Fresh Sugar Lip Polish Exfoliator,4.8,215,Unknown_Normal
60,6066,Jack Black Intense Therapy Lip Balm SPF 25 Duo Nordstrom Exclusive,4.8,183,Sun_Sunlight_Damage
61,30331,Lancôme Rénergie Lift MultiAction Lifting and Firming Eye Cream,4.6,233,Unknown_Normal
62,22243,Charlotte Tilbury Goddess Skin Clay Mask,4.2,156,Unknown_Normal
63,14559,TULA Skincare Protect  Glow Daily Sunscreen Gel Broad Spectrum SPF 30,4.8,1051,Acne; Sun_Sunlight_Damage; Lupus; Unknown_Normal
64,44485,True Botanicals Renew Pure Radiance Oil,4.0,2,Unknown_Normal
65,64301,FOREO LUNA mini 3 Compact Facial Cleansing Device,4.6,85,Unknown_Normal
66,7279,Fresh Lip Sugar Hydrating Lip Balm,4.6,328,Eczema
67,8088,Kiehls Since 1851 Blue Herbal Spot Treatment,3.4,65,Acne
68,27500,Fresh Black Tea AgeDelay Eye Concentrate Cream,4.4,558,Unknown_Normal
69,26287,Tata Harper Skincare Resurfacing Mask,4.7,65,Unknown_Normal
70,18198,BeautyBio GloPRO Rose Quartz Roller Attachment Head,4.9,15,Unknown_Normal
71,8088,Skin Gym PlumpedUp Microneedling Lip Set USD 35 Value,4.0,2,Benign_tumors
72,15772,Lancôme UV Expert Aquagel Defense Primer  and  Moisturizer SPF 50,4.2,50,Acne; Eczema; Psoriasis; Sun_Sunlight_Damage
73,34375,BeautyBio Cryo Dual Roller,4.8,117,Unknown_Normal
74,35588,Dr Dennis Gross Skincare Alpha Beta Peel Extra Strength Formula  30 Applications,4.8,334,Unknown_Normal
75,21838,Lancôme Tonique Confort Comforting Rehydrating Face Toner USD 62 Value Buy More  and  Save,4.8,830,Eczema; Vitiligo; Unknown_Normal
76,7279,Kosas Kosasport LipFuel Hyaluronic Lip Balm,4.2,13,Unknown_Normal
77,21838,Herbivore Botanicals Bakuchiol Retinol Alternative Smoothing Serum,0.0,0,Actinic_Keratosis; Unknown_Normal
78,28309,Augustinus Bader The Cleansing Balm,4.3,7,Unknown_Normal
79,80478,DERMAFLASH Luxe Facial Exfoliating Device,4.3,402,Seborrh_Keratoses
80,12941,Kiehls Since 1851 Clearly Corrective Brightening  and  Exfoliating Daily Cleanser,3.8,147,Acne; Vitiligo; Seborrh_Keratoses; Unknown_Normal
81,27904,Nurse Jamie UpLift Facial Massaging Beauty Roller,4.3,64,Unknown_Normal
82,120919,FOREO BEAR Facial Toning Device,4.6,33,Unknown_Normal
83,10110,Fresh Skin Care Favorites Travel Size Set USD 35 Value,4.5,11,Unknown_Normal
84,44485,Dr Barbara Sturm Skin Care Discovery Set USD 216 Value,5.0,3,Unknown_Normal
85,10110,Wander Beauty Baggage Claim Gold Eye Masks,4.2,32,Unknown_Normal
86,16581,Kiehls Since 1851 Epidermal ReTexturizing MicroDermabrasion,4.7,159,Unknown_Normal
87,38823,Dr Dennis Gross Skincare Peel Glow Be Merry Set USD 161 Value,0.0,0,Unknown_Normal
